"theta","rho","rmse"
0,0.999997155569104,0.00700703720907974
0.5,0.99999663195616,0.00762483335369704
1,0.999984282952253,0.0164714811532806
1.5,0.999966635972139,0.0239977841403315
2,0.993474768258844,0.337337863499597
2.5,0.999983768602909,0.0167373341723777
3,0.996043044750844,0.262028081263488
3.5,0.999707959115887,0.0710076685589355
4,0.991175899790083,0.391848491530112
4.5,0.932308080899021,1.13719246596095
5,0.998842835936402,0.141419150184459
5.5,0.994159321246391,0.319070367015475
6,0.997290182412498,0.21664877272696
6.5,0.998008981473121,0.185745006008915
7,0.999723355260185,0.0691091710137424
7.5,0.999922375827489,0.0366185099040241
8,0.999945710328731,0.0306129835832739
